"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DRIV","Global X Autonomous & Electric Vehicles ETF","12.9738","$18.17M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/driv",
"POTX","Global X Cannabis ETF","10.83","$10.29M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/potx",
"CLOU","Global X Cloud Computing ETF","18.75","$605.56M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/clou",
"KRMA","Global X Conscious Companies ETF","20.6202","$230.91M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/krma",
"BUG","Global X Cybersecurity ETF","18.049","$8.12M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bug",
"DAX","Global X DAX Germany ETF","22.9","$14.88M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dax",
"EBIZ","Global X E-commerce ETF","20.93","$13.6M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ebiz",
"FINX","Global X FinTech ETF","29.8","$479.74M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/finx",
"CHIC","Global X Funds Global X MSCI China Communication Services ETF","23.2818","$23.28M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/chic",
"AIQ","Global X Future Analytics Tech ETF","18.97","$45.54M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aiq",
"GNOM","Global X Genomics & Biotechnology ETF","16.18","$32.36M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gnom",
"BFIT","Global X Health & Wellness Thematic ETF","18.67","$18.67M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bfit",
"SNSR","Global X Internet of Things ETF","22.1198","$159.29M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/snsr",
"LNGR","Global X Longevity Thematic ETF","23.3628","$25.7M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/lngr",
"MILN","Global X Millennials Thematic ETF","24.9774","$74.94M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/miln",
"EFAS","Global X MSCI SuperDividend EAFE ETF","11.0063","$6.61M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/efas",
"QYLD","Global X NASDAQ-100 Covered Call ETF","20.42","$959.61M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/qyld",
"BOTZ","Global X Robotics & Artificial Intelligence ETF","21.95","$1.34B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/botz",
"CATH","Global X S&P 500 Catholic Values ETF","36.06","$317.34M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cath",
"SOCL","Global X Social Media ETF","37.0884","$127.97M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/socl",
"ALTY","Global X SuperDividend Alternatives ETF","10.15","$15.22M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alty",
"SRET","Global X SuperDividend REIT ETF","6.85","$271.67M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sret",
"GXTG","Global X Thematic Growth ETF","27.7944","$5.56M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gxtg",
"HERO","Global X Video Games & Esports ETF","19.89","$106.42M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hero",
"YLCO","Global X YieldCo & Renewable Energy Income ETF","13.2","$46.19M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ylco",
"GSB","GlobalSCAPE, Inc.","9.14","$171.01M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/gsb",
"GSAT","Globalstar, Inc.","0.2951","$492.42M","2006","Consumer Services","Telecommunications Equipment","https://old.nasdaq.com/symbol/gsat",
"GLOB","Globant S.A.","134.08","$4.98B","2014","Technology","EDP Services","https://old.nasdaq.com/symbol/glob",
"GL","Globe Life Inc.","70.75","$7.53B","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/gl",
"GL^C","Globe Life Inc.","25.9782","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gl^c",
"GLBS","Globus Maritime Limited","0.6633","$4.26M","n/a","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/glbs",
"GMED","Globus Medical, Inc.","49.23","$4.79B","2012","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/gmed",
"GSMG","Glory Star New Media Group Holdings Limited","4.38","$244.84M","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/gsmg",
"GSMGW","Glory Star New Media Group Holdings Limited","0.04","n/a","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/gsmgw",
"GLUU","Glu Mobile Inc.","9.48","$1.44B","2007","Technology","EDP Services","https://old.nasdaq.com/symbol/gluu",
"GLYC","GlycoMimetics, Inc.","3","$130.75M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/glyc",
"GMS","GMS Inc.","18.62","$788.01M","2016","Consumer Services","RETAIL: Building Materials","https://old.nasdaq.com/symbol/gms",
"GNC","GNC Holdings, Inc.","0.4994","$42.25M","2011","Consumer Non-Durables","Food Chains","https://old.nasdaq.com/symbol/gnc",
"GDDY","GoDaddy Inc.","74.48","$12.4B","2015","Technology","EDP Services","https://old.nasdaq.com/symbol/gddy",
"GOGO","Gogo Inc.","2.04","$170.89M","2013","Consumer Services","Telecommunications Equipment","https://old.nasdaq.com/symbol/gogo",
"GOL","Gol Linhas Aereas Inteligentes S.A.","4.06","$715.57M","2004","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/gol",
"GLNG","Golar LNG Limited","6.45","$631.3M","n/a","Consumer Services","Marine Transportation","https://old.nasdaq.com/symbol/glng",
"GMLP","Golar LNG Partners LP","2.35","$162.86M","2011","Consumer Services","Marine Transportation","https://old.nasdaq.com/symbol/gmlp",
"GMLPP","Golar LNG Partners LP","17.429","$96.21M","n/a","Consumer Services","Marine Transportation","https://old.nasdaq.com/symbol/gmlpp",
"GFI","Gold Fields Limited","8.56","$7.56B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/gfi",
